11520,21137,24852
21137,24852,8193
21137,17794,24852
21137,46979,24852
21137,24852,24964
21137,40706,24852
21137,24852,41220
21137,47626,24852
21137,45066,24852
21137,24852,37646
21137,24852,21903
14992,21137,24852
21137,31506,24852
21137,49683,24852
21137,22035,24852
21137,24852,47766
21137,24852,35221
19348,21137,24852
21137,24852,30489
21137,24852,22935
21137,24852,42265
21137,5785,24852
21137,24852,16797
21137,24852,17948
21137,24852,30233
21137,5025,24852
21137,25890,24852
21137,24852,48679
47144,21137,24852
21137,24489,24852
21137,24852,22825
21137,9387,24852
21137,24852,28204
21137,24852,29487
21137,21938,24852
21137,24852,12341
21137,24852,30391
21137,24852,28985
21137,43961,24852
21137,24852,27966
31553,21137,24852
21137,33731,24852
21137,24852,27845
21137,24852,39877
21137,24852,44359
21137,5450,24852
21137,24852,27086
21137,24852,45007
21137,49235,24852
21137,24852,8277
21137,24852,5077
43352,21137,24852
44632,21137,24852
21137,24852,41950
21137,24852,26209
21137,24852,31717
8424,21137,24852
21137,24852,47209
21137,39275,24852
21137,24852,26604
21616,21137,24852
19057,21137,24852
21137,43122,24852
9076,21137,24852
41844,21137,24852
13176,21137,24852
21137,5876,24852
24184,21137,24852
11520,24852,21903
8193,24852,21903
17794,24852,21903
46979,24852,21903
24964,24852,21903
40706,24852,21903
24852,41220,21903
47626,24852,21903
45066,24852,21903
24852,37646,21903
14992,24852,21903
31506,24852,21903
49683,24852,21903
22035,24852,21903
24852,47766,21903
24852,35221,21903
19348,24852,21903
30489,24852,21903
22935,24852,21903
42265,24852,21903
5785,24852,21903
24852,16797,21903
24852,17948,21903
30233,24852,21903
5025,24852,21903
25890,24852,21903
24852,48679,21903
47144,24852,21903
24489,24852,21903
22825,24852,21903
9387,24852,21903
24852,28204,21903
24852,29487,21903
21938,24852,21903
24852,12341,21903
30391,24852,21903
28985,24852,21903
43961,24852,21903
24852,27966,21903
31553,24852,21903
33731,24852,21903
24852,27845,21903
24852,39877,21903
24852,44359,21903
5450,24852,21903
24852,27086,21903
45007,24852,21903
49235,24852,21903
24852,8277,21903
24852,5077,21903
43352,24852,21903
44632,24852,21903
24852,41950,21903
26209,24852,21903
24852,31717,21903
8424,24852,21903
47209,24852,21903
39275,24852,21903
24852,26604,21903
21616,24852,21903
19057,24852,21903
43122,24852,21903
9076,24852,21903
41844,24852,21903
13176,24852,21903
5876,24852,21903
24184,24852,21903
11520,47209,24852
47209,24852,8193
47209,17794,24852
47209,46979,24852
47209,24852,24964
47209,40706,24852
47209,24852,41220
47209,47626,24852
47209,45066,24852
47209,24852,37646
14992,47209,24852
47209,31506,24852
47209,49683,24852
47209,22035,24852
47209,24852,47766
47209,24852,35221
19348,47209,24852
47209,24852,30489
47209,24852,22935
47209,24852,42265
47209,5785,24852
47209,24852,16797
47209,24852,17948
