21137,24852
24852,21903
47209,24852
24852,47766
24852,16797
47626,24852
24852,27966
24964,24852
26209,24852
24852,27845
24852,28204
24852,45007
45066,24852
49683,24852
30489,24852
43352,24852
19057,24852
17794,24852
24852,26604
46979,24852
40706,24852
9076,24852
24184,24852
49235,24852
25890,24852
31506,24852
24852,41950
8424,24852
24852,27086
24852,8277
24852,29487
28985,24852
22035,24852
9387,24852
14992,24852
24852,35221
41844,24852
47144,24852
19348,24852
24852,41220
5450,24852
5025,24852
13176,21137
13176,21903
13176,47209
13176,47766
13176,22935
13176,27966
13176,24964
13176,28204
13176,45007
13176,42265
13176,5876
13176,30489
13176,43352
13176,30391
13176,19057
13176,17794
13176,26604
13176,46979
13176,21616
13176,33731
13176,37646
13176,24184
13176,44359
13176,31717
13176,41950
13176,24489
13176,8277
13176,5077
13176,5785
13176,28985
13176,21938
13176,43122
13176,39877
13176,17948
13176,8193
11520,13176
13176,30233
21137,21903
21137,47209
21137,47766
21137,47626
21137,22935
21137,27966
21137,27845
21137,45007
21137,42265
21137,5876
21137,30489
21137,30391
19057,21137
21137,26604
21137,40706
21137,9076
21137,31717
21137,22035
47209,21903
47766,21903
47626,21903
21903,22935
45007,21903
30391,21903
19057,21903
46979,21903
21616,21903
9076,21903
44359,21903
25890,21903
21903,48679
17948,21903
47209,22935
47209,27966
47209,24964
26209,47209
47209,45007
47209,5876
47209,30391
47209,37646
47209,31717
47209,48679
47209,22825
16797,47766
47626,47766
47766,45007
46979,47766
39275,16797
45066,16797
43352,16797
12341,16797
47626,22935
26209,47626
47626,45007
21616,47626
24964,22935
45007,22935
44359,22935
26209,27966
5876,27966
24964,45007
30489,24964
17794,24964
40706,24964
8424,24964
26209,30391
44632,26209
26209,31717
31553,26209
45066,27845
42265,30489
5876,30391
30489,43961
19057,40706
19057,44359
5785,27086
